Sex,Age,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,P_ID,Note
2,41,いきなり、傷つく,色の美しさ、輝かしい,先は長い、ひとつひとつの積み重ね,可愛さ、美しさ,沢山、急な,勢い、激しさ,鋭い、早い,徐々に蝕む、逃れなれない,自然の美しさ、輝かしい,美しさ、貴重さ,気味の悪さ、暗さ,正確な、美しさ,急な、驚き,機械的な、無機質な,威厳のある、美しさ,安定的な、難しさ,目印、思い出,明るさ、永遠な,可愛さしさ、穢れのない,美しさ、食べごろ,急な、広範囲な,徐々に大きくなる、周りからは見えない,積み重ね、地道な,情緒的な落ち込んだ,不動的な、信頼,閉鎖的な、足かせ,変化する、面白さ,決められた、逆らう事の出来ない,美しさ、明るさ,揺れ動く、平等な,しっかりとした、厚みのある,先が見えない、晴れることの無い,うず高い、コツコツとした,力強さ、普遍的な,突然、思いがけず,静かな、重い,美しさ、晴れることのない,急な、恐怖,美しさ、心の広い,厚み、まとわりつく,明るい、素敵な,正確さ、普遍的,広い、美しさ,官能的な、やすらぎ,閉鎖的な、近代的でない,666527,
2,34,短い、切れる,落ちる、沈む、,高い、険しい,飛ぶ、舞う,流れる、増える,荒れる、吹く、降る,切れる、裂ける,爆発、煙る、臭う,輝く、綺麗、落ちる,もろい、透通る、綺麗,流れる、降る、黒い,もろい、高い、白い,痺れる、光る,大きい、広い,走る、座る、かわいい,奏でる、鳴る、黒い,高い、硬い,光る、割れる、青い,笑う、走る、光る,ぶら下る、光る、,崩れる、溶ける,潜む、黒い、隠れる,上がる、登る、座る,吹く、流れる,大きい、綺麗,固い、厚い、暗い,暑い、変わる、赤い,取る、潜む、隠す,咲く、光る、赤い,測る、下がる、置く,臭い、固い、遅い,沈む、見えない、黒い,高い、崩れる,灯る、明るい、光る,走る、刺さる,潜る、静か、黒い,見えない、降る、白い,荒れる、壊れる、赤い,輝く、深い,滑る、這う,笑う、咲く、光る,回る、打つ,揺れる、吹く、流れる,臭う、香る、咲く,堅い、下げる、難しい,419888,
2,37,嫌な、危ない,薄暗い、心地よい,努力する、きつい,きれい、ヒラヒラしてる,早い、危ない,危ない、恐い,危ない、不快,危ない、嫌だ,きれい、白い、輝く,きれい、冷たい,暗い、急ぐ,四角、白い、もろい,危ない、速い,行きたくない、規則正しい,可愛い、わがまま、若い,難しい、不可能だ,黒い、高い、硬い,青い、反射,可愛い、小さい,可愛い、鮮やか、小さい,恐い、力強い、危ない,嫌な、どうにかしたい,難しい、地道だ、努力する,弱い、心地よい,高い、品がある、大きい,終わらない、やめたい,好き、変化,嬉しい、時間がかる,きれい、白い,平等だ、変化する,汚い、臭い、水,見えない、白い,堅苦しい、頑丈だ,明るい、高い,逃げられない、上手くいかない,静か、不安だ、暗い,白い、見えない,恐い、逃げたい、危ない,広い、反射する,赤い、厚い,かわいい、きれい、やわかい,音、一定,大きい、広い、見渡せない,いい匂い、心地よい,決まり、納得しない,171203,
2,56,虚しい、苦々しい,赤々と、落ち目の、寂しい,険しい、地道な,ひらひらと、自由な、癒される,早い、凄まじい,恐ろしい、凄まじい,鋭い、痛い、ヒリヒリ,危険、煙い、苦しい,きらびやかな、ピカピカと,鋭い、きらきらと,もくもくと、暗澹たる,固い、立体的な、殺風景,びりびりと、素早い,単調な、機械的な,大事な、甘ったれな,リズミカルな、難しい,硬い、ずっしりと,手に取るように、透けた,かわいい、美しい、初々しい,奇妙な、変わっている,恐ろしい、突発的な,見つけにくい、痛々しい,固い、険しい、困難な,情けない、だるい,大きい、尊大な,機械的な、空しい、孤独な,移ろいやすい、とろけるような,惜しい、歯切れの悪い、微々たる,怖い、生々しい,公平な、ぶれない,蒙昧な、つまらない,心もとない、神秘な,堅苦しい、無限の,明るい、落ち着く、温かい,残酷な、容赦ない,透き通った、身じろぎしない,見にくい、もやもやと、晴れない,激しい、圧倒的な,すべすべと、動きのない,生々しい、柔らかい、奇妙な,華やかな、明るい,正確、途切れない,ひょうひょうと、なだらかな,甘美な、華々しい,堅苦しい、避けられない,973473,
1,42,危ない、切れる、攻撃,お金、小銭、丸い,頂上、達成、苦難,跳ねる、舞う、回る,溢れる、漏れる、流れる,騒々しい、荒々しい、危ない,切れる、中身、部位,終わり、死、危険,まん丸、艶々、輝き,綺麗、宝石、眩しい,薄い、黒い、ぼやけている,壊れる、もろい、必要性,痺れる、痛い、早い,量産、商品、管理,偉い、尊厳、気品,難読、文字列、幾何学,記念、印、記憶,反射、写し絵、真実,キラキラ、かわいい、無邪気,手作り、飾り、膨らむ,危ない、災難、呑み込まれる,腫物、病気、痛み,登る、降りる、手段,気落ち、ため息、さりげない,大きい、偉い、力強い,罪人、管理、罰,四季、旬、変わり目,米俵、貧乏、農民,おどろおどろしい、燃える、怪しい,計測、比較、証明,のろい、小さい、硬い,見えない、不安、取り囲み,たたずまい、作り物、箱物,照らす、明るい、温かい,災難、ショッキング、悪,冷たい、深い、暗い,カーテン、スカーフ、シーツ,燃える、飛び散る、天高く,静か、水面、自然,虫、ぬめり、艶,綺麗、可愛い、可憐,刻む、精密、繰り返す,広い、深い、水平線,贈り物、感謝、メッセージ,閉じ込める、拘束、罰,905427,
1,61,鋭い、危ない、恐怖だ,丸い、赤い、綺麗だ,高い、険しい、難しい,素敵な、華やかだ、美しい,速い、膨大だ、流れる,速い、怖い、大きい,厳しい、怖い、鋭い,危ない、怖い、不安だ,綺麗だ、丸い、美しい,美しい、透き通った、硬い,薄暗い、黒い、怪しい,大きい、壊れやすい、甘い,激しい、一瞬だ、強力だ,広い、大きい、厳しい,美しい、強い、可愛い,奇妙だ、難しい、複雑な,大きい、黒い、高い,透き通っている、まぶしい、明るい,掛け街のない、可愛い、危ない,赤い、丸い、大きい,怖い、大きい、流れる,危険だ、怖い、大きい,辛抱だ、急だ、険しい,ほっとする、柔らかい、優しい,不動だ、大きい、強い,怖い、暗い、恐ろしい,変わる、一時的な、終わる,厳しい、大きい、重い,赤い、目立つ、黄色い,公平だ、公明だ、正しい,固い、黒い、汚れた,見えない、濃い、怖い,強い、強固だ、固い,導く、照らす、安心だ,一瞬だ、怖い、見えない,深い、静かだ、黒い,見えない、不安だ、綺麗だ,激しい、大きい、怖い,澄んだ、深い、美しい,取れない、ふっくらな、くっつく,美しい、可愛い、明るい,正確だ、正しい、鳴る,広い、大きい、広大だ,美しい、香る、煌びやかな,厳しい、厳格だ、壮言な,373595,
1,56,鋭い、斬る,光っている、眩しい,コツコツと、骨が折れる,舞う、いきいきと,押し寄せる、戻せない,凄まじい、こわい,鋭い、切り裂く,危ない、怖い,丸い、綺麗な,綺麗な、見事な,どんよりとした、薄暗い,四角い、固い,痺れる、強烈な,規則正しい、大きい,偉そうな、気高い,難解な、不可解な,大きい、汚れた,すっきりとした、見る,純粋な、無垢な,黄色い、ユラユラしている,勢いのある、恐ろしい,悪い、不快な,徐々に、のぼる,微かな、弱い,壮大な、高い,辛い、苦しい,変わる、巡る,苛酷な、厳しい,白い、ユラユラと,選ぶ、どちらかだ,独特な、地味な,先が見えない、気が滅入る,しっかりしている、緻密な,明るい、暖かい,突然な、予想もしない,静かな、暗い,見えない、覆われている,勢いがある、びっくりする,ウルウルしている、涙がいっぱいな,血の気がない、干からびている,明るい、気持ち良い,刻々とした、止まらない,広い、波打つ,華やかな、おしゃれな,窮屈な、拘束された,717861,
2,50,刺さる、傷つく、鋭い,鈍い、枯れる,慎重だ、ゆっくりだ,跳ねる、舞う,流れる、のまれる,激しい、強い,鋭い、刺す、痛い,危ない、怖い,輝く、きれいだ,輝く、きれいだ,重い、暗い,白い、硬い,しびれる、突然だ、,雑多だ、にぎやかだ,愛らしい、気高い,不思議だ、わからない,高い、大きい,透き通る、映す,純真無垢だ、素直だ,ぶら下がる、赤い,流れ込む、迫る、,怖い、恐れる,耐える、少しずつだ、つらい,静かだ、わずかだ、,荘厳だ、偉大だ,つらい、困難だ、,うつろう、気まぐれだ,おさめる、定期的だ,赤い、情熱的だ,公平だ、等しい,硬い、汚れる,見えない、飲み込まれる、,積み上げる、のぼる、,わずかだ、弱い,わからない、不意打ちだ、怖い,深い、計り知れない,覆う、見えない、,突然だ、激しい,潤む、深い,吸いつく、離れない、,咲く、美しい,正確だ、動く,広大だ、果てしない,香る、美しい,堅苦しい、必要だ,946392,
2,48,鋭い、傷つける、速攻の,燃えるような、鈍く光る、丸い,遅い、耐え忍ぶ、報われる,自由な、のびのびした、華やかな,押し寄せる、忙しい、止まらない,激しい、強い、破壊的な,鋭い、傷つける、効果的な,危険な、緊急な、恐ろしい,瑞々しい、丸い、滑らかな,透明な、繊細な、魅力的な,淡い、暗い、はかない,壊れやすい、ロマンチックな、可愛らしい,激しい、鋭い、痛い,統一の、個性のない、単調な,凛とした、冷たい、わがままな,難しい、難解な、複雑な,陰気な、硬い、不安な,曇りのない、教示的な、共感的な,無邪気な、罪のない、愛くるしい,可愛い、なごやかな、面白い,脆い、破壊的な、大量の,邪魔な、悪い、繁殖する,発展的な、地道な、前向きな,柔らかい、温かい、ほのかな,孤独な、威厳のある、惹きつける,自由がない、束縛される、息苦しい,移り変わる、浮き沈みのある、実を結ぶ,重い、苦しい、逃れられない,強い、燃えるような、脆い,公平な、冷静な、微妙な,のんびりした、マイペースな、人気の,先が見えない、孤独な、苦しい,しっかりした、堅固な、安全な,細々とした、明るい、必要な,抵抗不可な、襲い掛かる、予想困難な,深い、不可解な、ミステリアスな,半透明な、暗い、邪魔な,恐ろしい、激しい、強い,澄んでいる、静かな、青い,しつこい、怖い、危険な,華やかな、癒される、なごやかな,規則正しい、刻む、信頼できる,静かな、永遠の、豊かな,華やかな、香りのよい、広がる,不自由な、堅苦しい、枠にはまった,569566,
2,39,痛い、鋭い,輝かしい、明るい、赤い,果てしない、辛い,妖艶だ、美しい,流れる、溢れる,激しい、強い,刺さる、痛い、鋭い,悪い、危うい,丸い、美しい,鋭い、輝く,淡い、曖昧だ,脆い、危うい,激しい、痛い,規則的だ、大きい,わがままだ、気まぐれだ,難しい、読む,固い、丈夫だ,移す、綺麗だ,可愛い、小さい、愛らしい,丸い、赤い,うるさい、大きい、激しい,見つかる、悪い,登る、長い,弱弱しい、さりげない,偉大だ、大きい,辛い、縛られる,変わる、豊かだ,取られる、奪う,赤い、丸い,傾く、正しい,丈夫だ、固い,大きい、曖昧だ,大きい、積み重ねる,明るい、喜ぶ,早い、襲う,深い、静かだ,絶たれる、広い、美しい,激しい、吹き出す,綺麗だ、美しい、麗しい,吸いつく、くっつく,可愛い、美しい,規則正しい、刻む,広い、大きい,豊かだ、香しい,堅い、狭い,801124,
2,51,刺さる、チクリ、傷つける,小麦色、暖かい、,積み重ね、道は一つでない、振り出しに戻ることも、,ひらひら、美しい,とめどない、いつかは終わる止まる、忙しい,じわじわと接近、場を荒れさせ乱し去る、時として起こる、激しさ、入り乱れ,サクッと切りさく、鋭利、両断、,イライラ、,美しい、輝き、透明感、,キラキラ、透明感、輝き、神秘的、繊細,グレー、どんより、暗い、,四角、同型、無機質,ビリビリ、ガツン、ドン,同じことの繰り返し、夕方静寂、、,気品、美しい,想い、気持ち、感情表現、明るい、暗い、あるリズム,無機質、塊、いつもある、,泣いたり、笑ったり、曇ったり、晴れたり,キラキラ、けがれない、無垢、,可愛らしい、暖かみのある、ぶら下がる、ほっこり,堰を切る、突発的、ストレス,見えないところにも出来る、目にみえてわかる、長年の結果、,一歩づつ、昇る、近道のない、,耳を掠める、心地よい、時に甘い、柔らかい,どっしり、威厳、包み込む,がんじがらめ、命令、機械的、逃げられない、逃げたい、脱出したい,変貌、移ろい、自然に寄り添う,取られる、納める、避けれない,パッと咲いてフッと散る、赤い輝き、儚い,右へ左へ、上下、,のっそり、ひっそり、,飲み込まれる、先が見えない、のしかかる、息苦しい,基礎、構造、外壁、屋根、角、崩壊、,ぬくもり、暖かい光、目印,突然、衝撃、予測不可,重い、暗い、先が見えない、,やさしく包む、かすみをかける、先が見えにくい,爆発、我慢の限界、想定、マグマ、感情,澄んだ、深い、優しい、穏やかな,吸いつかれそう、しつこい、どす黒い、,パッと咲く、相手をホッとさせる、、朗らか、可憐、美しい,一定の拍動、乱れたり、止まったり、,ざわざわ、広がる、暖かい、,バラ、スズラン、バニラ、繚乱,がんじがらめ、かたさ、自分も相手も守るもの,995050,
2,29,鋭い、貶めている、苦い,赤い、暖かい、懐かしい,長い、厳しい、苦しい,楽しい、きれいだ、舞っている,流れている、大量だ、早い,騒がしい、大きい、絶望的だ,鋭い、厳しい、切り付けている,恐ろしい、害がある、鋭い,美しい、儚い、きれいだ,きれいだ、儚い、美しい,暗い、見通しの悪い、軽い,崩れやすい、かわいい、メルヘンチックだ,鋭い、予想外だ、驚かせている,さみしい、規則的だ、無機的だ,わがままだ、かわいい、憎たらしい,難解だ、長い、操っている,固い、静かだ、暗い,広い、きれいだ、終わりのない,かわいい、無害だ、あどけない,丸い、大きい、おいしそうだ,厳しい、多い、大きい,疑わしい、重い、蔓延している,長い、上がっている、終わりのない,軽い、やさしい、温かい,大きい、立派だ、猛々しい,重い、窮屈だ、閉じ込めている,移り変わっている、尊い、大切だ,わずかだ、安定しない、少ない,小さい、赤い、ほのかだ,明らかだ、明確だ、揺れている,暗い、重い、丸い,恐ろしい、不快だ、視界を遮る,強固だ、頑固だ、高い,明るい、ふくらませている、小さい,消えている、つかみにくい、速い,暗い、重い、辛い,暗い、見通しの悪い、怖い,燃えている、恐怖だ、煮えたぎっている,大きい、澄んでいる、広い,小さい、腫れている、みにくい,かわいい、可憐だ、明るい,鳴っている、刻んでいる、進んでいる,広い、とりとめのない、続いている,かぐわしい、きれいだ、華やかだ,窮屈だ、厳しい、縛っている,351007,
1,28,切る、鋭い,美しい、輝く、明るい,高い、長い、大変だ,楽しい、軽快だ、飛ぶ,溢れる、流れる,荒れる、ひどい,切る、とる、治す,爆ぜる、危険だ,落ちる、弾ける、輝く,技巧的だ、尖る、透明だ,暗い、伸びる,かくばる、固い,痺れる、ぶつかる、ひびく,生み出す、つくる,かわいい、愛くるしい、小さい,難解だ、隠す,高い、そびえたつ,映る、晴れる,大切だ、尊い,しわしわだ、渋い,崩れる、流れる、暴れる,隠れる、育つ、醜い,登る、続く,そよぐ、揺れる,大きい、偉い、威張る,縛る、狭い、苦しい,移ろう、不安定だ,来る、納める,儚い、潰える,量る、平等だ,汚い、かたい,迷う、躓く,創る、丈夫だ,光る、進む,現れる、急だ,暗い、深い、静かだ,立ち込める、白い,飛び出す、燃える、不意だ,きれい、照り映える,濡れる、やわらかい、湿る,ほころぶ、開く,刻む、正確だ,そよぐ、広がる、壮大だ,渡す、魅せる,かたい、閉じ込める、窮屈だ,259939,
2,36,鋭利な、痛い、恐ろしい,濃い、赤い、あかい,地道、積み上げる、険しい,舞う、飛ぶ、軽やか,溺れる、避けようがない、膨大な,激しい、一時的な、恐ろしい,鋭い、痛い、傷付く,危ない、怖い、遅い,輝く、丸い、瑞々しい,美しい、硬い、透明な,薄暗い、怖い、暗い,四角い、しかくい、立体的,いきなり、一瞬の、突発的な,冷たい、無個性な、機械的な,生意気な、気まぐれな、意地悪な,規則的な、無機的な、冷たい,大きい、硬い、古い,綺麗な、冷たい、爽やかな,無垢な、明るい、柔らかい,丸い、赤い、膨張する,流れる、流動的、大きい,侵食的な、黒い、悪い,段階的な、積み上げる、地道な,弱い、柔らかい、温かい,大きい、圧倒的な、威厳ある,縛られる、不自由な、硬い,移ろう、変化する、変わる,規則的な、義務的な、避けようのない,丸い、赤い、不気味な,公正な、公平な、厳しい,地を這う、冴えない、鈍い,見えない、寒い、冷たい,積み上げる、硬い、高い,明るい、暖かい、心もとない,避けられない、思いがけない、突発的な,冷たい、重い、暗い,薄い、透ける、柔らかい,熱い、爆発的な、突発的な,深い、底知れない、美しい,湿る、滑る、危険な,美しい、明るい、暖かい,規則的な、正確な、せいかくな,広大な、広い、広範囲な,複雑な、芳しい、色々な,堅苦しい、窮屈な、狭い,899610,
2,41,刺さる、痛い、切れる,丸い、オレンジの,上る、つらい、確実な,美しい、速い,止まらない、流される,止まらない、勢いがある、壊れる,鋭い、痛い,追い詰められる、気づかない,丸い、輝く,美しい、透明な、冷たい,暗い、まっすぐだ、灰色だ,四角い、似ている、白い,びりびりする、突然の,無機質だ、工業的だ、冷たい,偉そうな、かわいい,難しい、わからない,無機質だ、あたたかみがない、冷たい,晴れている、明るい、輝いている,無邪気だ、かわいい、無垢だ,赤い、垂れ下がった,うねる、勢いがある、とまらない,むしばむ、痛い、怖い,長い、上る、確実だ,けだるい、やさしい、おだやかだ,大きい、動かない、偉大だ,逃げられない、いやだ、やりたくない,変わっていく、美しい,重い、のしかかる、逃げられない,怖い、ぼんやりした,揺れる、答えがある,遅い、汚れている,見えない、怖い,整然とした、積み重ねた,消えやすい、安心する、温かい,急だ、逃げられない,重い、不安だ,見えない、薄い、ぼんやりした,急だ、恐ろしい、あふれる,静かだ、動かない、光る,醜い、気持ち悪い,美しい、嬉しい,正確な、確実な,広い、広大だ,様々な、広がる,不自由だ、決まっている、逃げられない,477799,
2,38,鋭い、抉る,輝く、丸い,険しい、遠い,軽やか、舞う,流れる、怒涛の,激しい、荒れる,鋭い、割く,潜む、うかがう,小さい、儚い,もろい、きれい,暗い、にじむ,四角い、崩れる,走る、驚く,同一の、厳しい,わがままな、自由な,地道な、無機質な,高い、固い、そびえたつ,透き通る、きらめく,明るい、無邪気な,つややか、橙色、ぶらさがっている,無秩序な、大きい,むしばむ、潜む,地道な、遠い、しんどい,甘い、心地よい,重い、高い、堂々とした,辛い、きつい、疲れる,移ろう、変わる,重い、のしかかる,浮かぶ、浮き上がる、光る,公正な、平等な、量る,重い、したたる,暗い、怖い,たたずむ、固い,明るい、光る、儚い,驚く、受け止める,深い、暗い,神秘的な、恐れる,激しい、熱い、怖い,深い、青い,艶めかしい、柔らかい,咲く、明るい,刻む、規則的な,広い、そよぐ,きれい、安らぐ,狭い、閉じ込める,907429,
2,35,鋭い、早い,綺麗、暖かい,難しい、長い,可愛い、小さい,早い、急だ,激しい、強い,女々しい、弱い,危険だ、恐い,透明だ、綺麗だ,透明だ、綺麗だ,暗い、不穏だ,白い、壊れやすい,痛い、明るい,正しい、正確だ,気高い、綺麗だ,難しい、わかりにくい,固い、高い,綺麗だ、純粋だ,無邪気だ、純粋だ,儚い、弱い,速い、早急だ,不安だ、あやしい,困難だ、疲れる,微かな、穏やかだ,大きい、強い,苦痛だ、苦労する,変わりやすい、変化する,高い、不当だ,不気味だ、熱い,正確だ、正しい,遅い、丸い,わからない、不安だ,高い、固い,儚い、明るい,偶然、突然,深い、静かだ,不明、朦朧,激しい、恐い,潤う、穏やかだ,醜悪だ、気味が悪い,明るい、優しい,正確だ、一定だ,広い、大きい,仰々しい、綺麗だ,真面目だ、堅苦しい,912597,
1,42,チクッとした、意地の悪い,輝いた、褐色の,大変だ、根気のいる,優雅だ、自由な,一瞬だ、現代の,激しい、危険な,鋭い、切れ味のいい,良くない、危ない,みずみずしい、輝いた,透き通った、鋭い,不安な、悲しい,硬い、真っ直ぐだ,衝撃的な、強烈な,大きい、広い,自由な、かわいらしい,並んだ、不規則だ,高い、硬い,透き通った、曇りのない,かわいい、無邪気な,ぶら下がった、赤い,勢いのある、こわい,厄介な、難しい,地道な、慎重な,心地よい、暖かい,大きい、威厳のある,不自由な、窮屈な,変わる、面白い,重荷だ、苦しい,丸い、神秘的な,公正な、平等な,シワシワだ、古めかしい,モヤモヤした、先の見えない,真っ直ぐな、構造物だ,明るい、熱い,突然の、意図しない,暗い、重い,真っ白だ、見えない,爆発的な、止められない,潤いのある、穏やかな,湿った、柔らかい,明るい、温かい,規則正しい、整然とした,広い、地平線の,香ばしい、華やかな,不自由だ、つまらない,568441,
2,42,切れる、鋭い,重い、小さい,高い、立ちはだかる,可愛いい、舞う,乱雑な、危ない,荒い、怖い,鋭い、細い,困難な、粗末な,小さい、穏やかだ,きれいだ、もろい,薄い、暗い,かたい、白い,明るい、強い,大きい、頑丈な,かわいい、静かな,困難な、きつい,かたい、孤独な,きれいな、明るい,かわいい、明るい,明るい、のどかだ,怖い、重い,重い、困難な,辛い、登る,少ない、簡単な,きらびやかだ、高い,孤独な、ひそやかだ,いとしい、大切な,重い、辛い,明るい、穏やかな,平等な、丁寧な,のろい、休む,濃い、暗い,大きい、かたい,明るい、静かだ,怖い、急な,深い、静かだ,厚い、静かだ,厳しい、危うい,広い、穏やかだ,厚い、大きい,明るい、けなげな,動く、大切な,のどかだ、広い,鮮やかな、優しい,困難な、かたい,388960,
1,33,切れ味のある、咄嗟に、鋭い,輝き、渋い、哀愁のある,コツコツと進む、準備が大事、大変な,舞う、可憐な、ゆらゆらと,一気に流れる、押し寄せる、移り変わる,激しい、おさまらない、破壊する,鋭い、痛い、切る,いつになるのか、止まらない、刻々と,少し、貴重な、止まらない,透き通った、繊細な、涼しげな,薄暗い、遮る、どっちつかず,角がある、まとまった、直立する,痛い、驚き、必要な,規則正しい、協力して、作っていく,凛々しい、威厳のある、守りたい,読めない、難しい、分かる人には分かる,堂々とした、大きい、歴史的な,映す、反射する、自分自身,愛らしい、希望だ、光のような,明るい、綺麗な、趣がある,一気に流れる、止まらない、勢いのある,大きい、増える、できる,こつこつと、上がっていく、しんどい,微妙な、心地よい、気分で変わる,堂々としている、威厳のある、権力のある,自由がない、耐える、閉じ込められて,深い、移り変わる、愛おしい,収め続ける、厳しい、貢ぐ,浮遊する、浮いている、色味のある,判定する、偏る、正確に,長生き、強い、固い,先が見えない、危険な、いつ晴れるのか,まとまっている、順序がある、しっかりとした,儚い、照らし出す、暖かい,突然、コントロールできない、理不尽な,静かな、動きのない、未知の,神秘的な、不思議な、見えない,突然の、爆発する、解放,広い、映し出す、印象的な,吸う、弾力性のある、乾燥する,華やかな、落ち着く、気分の良い,刻み続ける、いつか止まる、一定の動きを続ける,広い、壮大な、爽快な,可憐な、華やかな、綺麗な,堅苦しい、窮屈な、務め,154854,
1,45,痛い、怖い、嫌だ,きれいだ、美しい、立派だ,難しい、険しい、厳しい,明るい、きれいだ、活発だ,費やす、早い、過ごす,激しい、怖い、厳しい,厳しい、怖い、痛い,怖い、恐ろしい、不安だ,小さい、はかない、美しい,きれいだ、美しい、作る,暗い、憂鬱だ、怖い,固い、甘い、建てる,痛い、明るい、驚く,学ぶ、通う、厳しい,かわいい、綺麗だ、可愛がる,難しい、理解する、解く,古い、固い、立派だ,綺麗だ、美しい、まぶしい,かわいい、明るい、うれしい,赤い、丸い、明るい,激しい、凄い、大きい,怖い、怪しい、払しょくする,難しい、厳しい、昇る,吐く、わずかだ、弱々しい,高い、厳しい、神々しい,厳しい、怖い、暗い,愛おしい、感じる、切ない,厳しい、納める、増える,美しい、綺麗、不思議だ,難しい、判定する、厳しい,古い、固い、臭い,濃い、怖い、憂鬱だ,考える、難しい、固い,明るい、願う、叶える,怖い、暗い、恐ろしい,暗い、静かだ、深い,包む、濃い、暗い,怖い、厳しい、激しい,綺麗だ、美しい、輝く,気持ち悪い、太い、分厚い,明るい、かわいい、うれしい,正確だ、正しい、刻む,広い、大きい、深い,きれいだ、美しい、明るい,厳しい、捕まる、正しい,767491,
1,41,鋭い、刺さる,丸い、沈む,登る、大変,舞う、美しい,流れる、あふれる,激しい、うずまく,なよなよしてる、しつこい,自動的に、失う,丸い、きらめく,透きとおった、美しい,薄暗い、薄黒い,四角い、角ばっている,ビリッとする、ショックを受ける,大きい、広い,かわいい、愛嬌がある,並ぶ、難しい,長い、高い,澄み切っている、映る,かわいい、純粋,丸い、垂れ下がる,流れてくる、主張する,とれない、晴れない,上る、積み重ねる,かすかに、わずかに,高い、大きい,辛い、きつい,変化する、移り変わる,納める、増える,赤い、飛ぶ,はかる、決める,地味、コツコツと,増す、消えない,組み立てる、説明する,明るい、残っている,突然、瞬間的に,深い、暗い,隠す、見えない,あふれる、激しい,深い、広い,厚い、くっつく,明るい、かわいい,動く、勝手に,広い、広大,美しい、香る,硬い、狭い,885899,
1,38,傷、刺さる,色合い、暖かい,永遠、積み重ね,妖艶、羽ばたく,長い、流れる、,勢い、荒れる,刺さる、冷たい,蓄積、病気、,光、粒,輝、氷、冷たい,重い、暗い、墨,白い、四角,エネルギー、痛い,団体、チ?ムワ?ク,ナイ?ブ、綺麗,メッセージ、音,長い、重い、,写す、青い,笑う、笑顔,祭り、収穫,勢い、飲み込む、,悩み、出来物,積み重ね、勉強,柔らかい、心地よい,不動、立ちはだかる,拘束、労働、辛い,四季、暖かい、,納める、増、,赤い、華麗な,天国、地獄,重い、動、,霧、霞む、白い,難しい、積み重ね,灯り、喜ぶ,突然、残酷,重い、暗い,幕、白い,怒り、エネルギー,涙、水溜り,分厚い、潤い,美しい、華麗,音、無限,広い、青い、揺れる,香り、華麗,厳しい、固い,603972,
1,53,鋭い、酷い、痛い,赤い、丸い、暗い,高い、険しい、難しい,舞う、はばたく、美しい,激しい、止まらない、怖い,暴れる、恐ろしい、乱れる,鋭い、厳しい、切れる,害する、くさい、悪い,美しい、光る、まぶしい,鋭い、美しい、光る,暗い、黒い、落ち込む,角ばる、堅い、崩れる,痛い、強い、しびれる,大きい、堅い、整っている,妖しい、可愛い、気難しい,難しい、優れている、役立つ,動じない、立つ、硬い,透き通る、映す、光る,可愛い、明るい、やさしい,干す、つるす、赤い,恐ろしい、崩れる、激しい,悪い、醜い、怪しい,登る、積み上げる、続ける,緩い、落ち着く、鎮まる,そびえる、高い、強い,厳しい、苦しい、酷い,優しい、厳しい、包み込む,厳しい、苦しい、高い,儚い、悲しい、美しい,正しい、良い、気難しい,ざらつく、汚い、くさい,暗い、恐ろしい、見えない,組み立てる、堅い、美しい,明るい、温かい、まぶしい,酷い、怖い、驚く,暗い、おとなしい、張り詰める,白い、見えない、覆う,激しい、怖い、熱い,透き通る、美しい、光る,吸いつく、赤い、やわらかい,明るい、輝く、美しい,刻む、規則正しい、優れる,きれい、優しい、落ち着く,美しい、きれい、儚い,堅苦しい、面倒くさい、正しい,240855,
